"","County","PCT_HARVEST_ACRES","pct_irrigated_acres","farms_per_acres","pct_manure_acres","PCT_NEMATODE_ACRES","PCT_DISEASE_ACRES","PCT_DEFOLIATE_ACRES","PCT_AU","Herbicides","Fungicides","Insecticides","MEAN_AS","MEAN_SE","MEAN_HG","MEAN_PB","MEAN_ZN","MEAN_CU","MEAN_NA__PCT","MEAN_MG_PCT","MEAN_TI_PCT","MEAN_CA_PCT","MEAN_FE_PCT","MEAN_AL_PCT","MEAN_P_PCT","Facilities_per_pop","RADON_ZONE"
"23","Dale",0.10657057,0.075296688,0.0000722004,0.008936188,0.021054748,0.017883484,0.039426973,0.061403894,6613.540836,12.09024041,691.5431113,2.138,0.151,0.013,10.003,9.818,1.945,0.008,0.027,0.3,0.023,0.649,0.689,0.014,0.000244255,3
"24","Dallas",0.055267989,0.016400926,0.0000251669,0.004198146,0.010894103,0.005352676,0.020564467,0.04738007,9092.9807,25.4116,657.72626,3.661,0.221,0.779,17.617,29.144,6.682,0.06,0.106,0.535,1.029,1.435,2.093,0.024,0.000711744,2
"25","DeKalb",0.137748427,0.009040085,0.0000762538,0.080208935,0.001954505,0.002969884,0.000918987,0.244421705,53079.40186,2547.8936,3484.50016,4.018,0.23,0.058,21.688,34.028,7.253,0.036,0.096,0.233,0.123,1.184,1.751,0.019,0.000325824,2
"26","Elmore",0.063117192,0.023427634,0.0000832116,0.002253846,0.01144754,0.011052879,0.018872392,0.038462032,4967.169573,7.959546657,477.8515169,1.919,0.142,0.033,17.497,23.841,6.191,0.269,0.113,0.56,0.424,1.843,2.608,0.014,0.000182166,2
"27","Escambia",0.041127223,0.016362021,0.0000360722,0.002295503,0.013750066,0.001311716,0.008713075,0.02008971,7534.143571,26.40925581,790.2823,1.485,0.155,0.016,10.413,8.386,2.119,0.004,0.014,0.268,0.013,0.375,0.55,0.007,0.000520291,3
"28","Etowah",0.057551253,0.005683371,0.0000541002,0.028362756,0,0.000122437,0.002607997,0.08485211,4358.9206,49.3494,257.16384,3.576,0.232,0.059,13.647,29.015,9.733,0.039,0.157,0.314,0.7,1.21,1.646,0.016,0.000347964,2
"29","Fayette",0.037772706,0,0.00000248,0.008297383,0.000496552,0,0.001410208,0.030502143,7199.597721,14.84625581,644.6366,3.747,0.211,0.026,17.217,29.286,6.205,0.076,0.099,0.372,0.032,1.412,2.084,0.013,0.000378481,2
"30","Franklin",0.053375528,0.011968106,0.0000314187,0.046850107,0.0000435028,0.0000386692,0.000145009,0.112871586,5116.279179,13.21402791,309.81634,5.686,0.193,0.019,20.989,42.912,6.21,0.051,0.115,0.384,0.518,1.671,1.962,0.019,0.00041636,1
"31","Geneva",0.190104617,0.073177578,0.000151149,0.023573804,0.015600708,0.029876166,0.036839804,0.148756342,13056.98485,27.8998,1428.32558,2.111,0.13,0.014,11.338,12.109,2.395,0.003,0.02,0.306,0.041,0.594,0.932,0.017,0.000232883,3
"32","Greene",0.023780931,0.009847162,0.0000142061,0.007235616,0.000142061,0,0,0.043331016,674.3636891,11.21325581,74.2385,5.114,0.309,0.059,17.247,33.594,7.505,0.081,0.117,0.556,1.176,1.537,2.294,0.035,0.000200521,2
"33","Hale",0.043344993,0.0046175,0.000030942,0.002499162,0,0.000985384,0.001090026,0.063066852,7541.915559,14.4314,381.35194,4.368,0.314,0.046,18.863,35.83,8.067,0.061,0.119,0.599,1.32,1.669,2.438,0.028,0.000232761,2
"34","Henry",0.171948406,0.047840273,0.0000577349,0.022186714,0.014931356,0.038580688,0.022324178,0.05483722,7256.923861,30.95682791,823.87202,3.21,0.215,0.018,12.405,12.73,3.16,0.009,0.032,0.322,0.029,1.016,1.121,0.018,0.000490497,3
"35","Houston",0.230808906,0.111219161,0.000145062,0.012515581,0.07530839,0.048896458,0.035580353,0.068030779,15238.35647,46.99005581,1090.17608,1.89,0.135,0.023,8.946,12.355,3.123,0.004,0.018,0.189,0.039,0.511,1.003,0.013,0.000382939,3
"36","Jackson",0.106665513,0.020745139,0.0000402145,0.013756135,0.000465934,0.001077471,0.001747251,0.070038201,80680.75967,2160.5452,5064.02192,4.545,0.229,0.042,36.083,41.363,6.557,0.043,0.13,0.232,0.378,1.184,1.981,0.038,0.00042651,1
"37","Jefferson",0.011312066,0.00366224,0.0000444919,0.003665021,0,0,0.0000139037,0.007964334,326.1534375,1.51930625,18.90850563,8.874,0.35,0.028,47.727,66.028,11.699,0.079,0.303,0.261,0.485,1.941,2.988,0.022,0.000410847,2
"38","Lamar",0.030402518,0,0.0000129032,0.003153542,0,0.000147097,0.000180645,0.023363876,5653.8936,7.3402,356.31992,3.162,0.168,0.022,21.814,27.577,5.055,0.027,0.049,0.451,0.038,1.229,1.528,0.01,0.000754527,2
"39","Lauderdale",0.161404133,0.025764142,0.0000826052,0.002236863,0.007738807,0.000652147,0.031211741,0.08258626,32353.46704,82.71565581,2054.43124,6.061,0.302,0.052,48.909,75.65,31.238,0.071,0.113,0.335,0.266,1.637,2.613,0.033,0.000215993,1
"40","Lawrence",0.181053901,0.037376666,0.0000413435,0.017325087,0.066891546,0.01740995,0.093590719,0.113709795,29049.30922,423.355,2499.1043,6.299,0.224,0.031,16.336,44.396,6.4,0.047,0.109,0.243,0.308,1.334,2.202,0.02,0.0000861995,1
"41","Lee",0.018613943,0.012577674,0.000053306,0.000982353,0,0.000472139,0,0.021474769,262.7775682,1.02930625,9.577705625,1.664,0.181,0.782,24,28.606,7.947,0.234,0.194,0.636,0.365,2.3,3.096,0.023,0.000243284,2
"42","Limestone",0.278193875,0.104025108,0.000159575,0.008943941,0.024677555,0.013929383,0.113813254,0.084364909,40013.82031,134.3726279,2012.5012,7.281,0.3,0.053,28.299,52.828,9.187,0.08,0.147,0.351,0.341,1.938,3.2,0.088,0.000426335,1
"43","Lowndes",0.060310004,0.045116668,0.0000344813,0.011719343,0,0.002493431,0.002960854,0.116366727,3992.401546,23.62186831,438.4968113,3.86,0.21,0.024,19.668,28.198,4.849,0.114,0.112,0.527,0.835,1.417,2.336,0.027,0.00029689,2
"44","Macon",0.043129016,0.061527705,0.0000713424,0.000932547,0.005396541,0.002667695,0.012543519,0.02704872,4593.558081,2.59791875,439.9279169,2.146,0.136,0.193,16.757,15.18,3.758,0.083,0.06,0.47,0.109,0.854,1.578,0.018,0.0000829703,2
"45","Madison",0.212260488,0.035857631,0.00011149,0.006370333,0.004055945,0.014003583,0.072932045,0.047754064,65890.7146,157.4884,3748.81754,6.278,0.308,0.048,23.37,58.962,8.144,0.051,0.142,0.334,0.222,1.744,3.02,0.035,0.000336104,1
"46","Marengo",0.033847675,0.005905975,0.0000174874,0.004540367,0,0.000238465,0.000728055,0.044803435,519.5562071,5.900934157,35.58990563,7.669,0.417,0.148,23.618,40.929,8.547,0.136,0.223,0.503,1.693,2.219,2.729,0.039,0.000576778,3
"47","Marion",0.036252471,0.000895175,0.0000126081,0.013835281,0,0.000138689,0,0.055397416,6935.5336,15.9398,321.58498,3.513,0.147,0.017,15.526,21.407,4.629,0.031,0.062,0.39,0.037,1.112,1.453,0.011,0.000768886,2
"48","Marshall",0.089134913,0.007562263,0.0000651919,0.047743056,0,0,0.000606786,0.195295907,15644.35431,29.11662791,1076.0879,5.241,0.27,0.058,22.149,52.869,8.174,0.038,0.132,0.248,0.212,1.278,2.121,0.025,0.000486435,2
"49","Mobile",0.028374617,0.006520792,0.000130207,0.000449546,0.002779962,0.009068853,0.010397532,0.019199302,1884.541171,11.44565581,175.45344,2.64,0.303,0.033,17.42,15.346,4.706,0.021,0.049,0.33,0.047,0.716,1.422,0.016,0.000462682,3
"50","Monroe",0.039430647,0.006156177,0.0000120828,0.002766957,0.01055431,0.010348902,0.031490749,0.023820318,5178.805297,1.77930625,545.2163056,1.86,0.113,0.011,11.9,13.457,1.95,0.032,0.041,0.346,0.046,0.622,0.606,0.008,0.000534452,3
"51","Montgomery",0.052015605,0.014453555,0.000060565,0.013246161,0,0.001334385,0.00178946,0.105036624,3363.493061,16.92902791,251.33394,3.674,0.238,0.031,18.685,23.642,4.914,0.078,0.116,0.507,1.239,1.306,2.253,0.026,0.000335555,2
"52","Morgan",0.10834161,0.020918189,0.0000730311,0.023216059,0.001649159,0.00038863,0.00517999,0.125315824,20933.5641,55.7,1553.3506,5.491,0.197,0.03,19.58,47.644,6.152,0.043,0.125,0.268,0.362,1.412,2.399,0.022,0.000657279,1
"53","Perry",0.036984432,0.002339175,0.0000151054,0.015519694,0.001364415,0.000323687,0,0.038400406,9324.100161,25.55382791,269.76272,3.99,0.292,0.143,21.105,36.299,7.644,0.047,0.113,0.607,0.575,1.997,2.436,0.023,0.00033724,2
"54","Pickens",0.036219875,0.018178403,0.0000280883,0.018273201,0.001109989,0.000545967,0.000803965,0.062654847,12681.43685,22.188,825.1446,4.068,0.219,0.027,21.307,25.892,5.372,0.038,0.086,0.455,0.144,1.504,2.13,0.017,0.00019094,2
"55","Pike",0.072222326,0.035002232,0.0000581201,0.02493816,0.011563569,0.007474241,0.006741928,0.088594842,7717.524675,12.92093416,842.4885056,2.573,0.164,0.015,13.51,12.851,3.018,0.02,0.032,0.438,0.036,0.973,1.127,0.017,0.000540449,3
"56","Randolph",0.023930638,0.016108909,0.0000722253,0.015889559,0,0.000802503,0,0.089292124,1116.748911,6.831627907,126.6723,2.27,0.203,0.034,19.744,39.246,9.976,0.144,0.144,0.673,0.194,3.264,2.545,0.014,0.000268097,2
"57","Russell",0.036215689,0.023648205,0.0000434443,0.002859741,0,0.002746648,0.002210662,0.018705639,1672.241738,5.32930625,179.8246056,3.094,0.203,1.864,19.92,13.81,3.682,0.086,0.091,0.482,0.105,1.129,1.999,0.019,0.000301471,2
"58","St. Clair",0.037395676,0.01267958,0.0000525925,0.006062484,0.003023042,0.001434342,0.002189591,0.056908865,249.6628605,5.361627907,26.928,6.061,0.294,0.03,14.797,42.012,7.433,0.061,0.14,0.249,0.12,1.444,2.344,0.019,0.00041704,2
"59","Shelby",0.032422362,0.014304211,0.0000829957,0.002096124,0.000557808,0.000339703,0.017141505,0.018457038,1260.572836,8.610240407,104.4155113,5.529,0.238,0.046,13.897,33.038,7.793,0.084,0.149,0.223,0.24,1.516,2.114,0.018,0.000279148,2
"60","Sumter",0.023961869,0.002294222,0.0000136866,0.000368561,0,0.0000855414,0.0000855414,0.04560734,5384.150359,5.089,411.6128,5.683,0.352,0.027,21.969,36.208,7.98,0.109,0.184,0.522,2.416,1.729,2.51,0.036,0.000270307,2
"61","Talladega",0.061048997,0.030181273,0.0000698783,0.002086074,0,0,0.002456018,0.044388799,22860.82781,48.5714,1773.88954,8.286,0.354,0.087,21.087,50.049,11.137,0.284,0.242,0.345,0.403,2.281,3.115,0.024,0.000684752,1
"62","Tallapoosa",0.013409812,0.007500196,0.0000346665,0.000219652,0.001289359,0.003058807,0.000933883,0.018909417,406.7762091,0.49,45.7397,2.847,0.202,0.047,22.453,38.842,9.648,0.277,0.262,0.619,0.494,3.085,3.468,0.016,0.000192887,3
"63","Tuscaloosa",0.024230238,0.012501341,0.0000381597,0.001939205,0.000731145,0.000173453,0.005956379,0.015667409,8908.578168,20.9434,728.27744,4.445,0.285,0.046,25.663,33.575,7.367,0.048,0.106,0.414,0.099,1.503,2.103,0.014,0.000327521,2
"64","Walker",0.025828884,0.003372191,0.0000194027,0.009309419,0.0000329846,0.000155222,0,0.037541247,582.6665375,0.53930625,42.77070563,7.185,0.357,0.029,15.555,38.676,9.519,0.126,0.177,0.246,0.078,1.562,2.725,0.019,0.000212125,2
"65","Washington",0.013310547,0.001567467,0.0000157895,0.002547851,0.00000861,0.000215311,0.000657366,0.019218283,4540.615111,8.591427907,431.20908,2.582,0.148,0.013,12.899,11.71,2.51,0.013,0.03,0.315,0.06,0.588,0.769,0.009,0.000828867,3
"66","Wilcox",0.021826031,0.000216952,0.00000517,0.004657574,0.002177386,0.000516552,0.000788541,0.031148834,2379.524968,11.75256206,238.8584056,3.572,0.17,0.257,16.323,21.422,3.205,0.101,0.125,0.438,0.232,1.244,1.486,0.017,0.0000758553,3
"67","Winston",0.031256924,0.001060856,0.0000148371,0.014035942,0,0,0,0.07948051,64.5566,0.49,8.9381,3.287,0.202,0.019,9.12,18.617,3.875,0.038,0.071,0.189,0.107,0.783,1.397,0.01,0.001207584,2
"68","Aleutians East Bo",0,0,0,0,0,0,0,0.000907706,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000741565,3
"69","Aleutians West Ce",0,0,0,0,0,0,0,0.000304545,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001097896,3
"70","Anchorage Borough",0.010231077,0.007866321,0.0000621466,0.000803125,0,0,0.000163624,0.00120032,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126785,2
"71","Bethel Census Are",0,0,0,0,0,0,0,0.000000607,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000312383,3
"72","Bristol Bay Borou",0,0,0,0,0,0,0,0.00112054,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000794913,3
"73","Denali Borough",0,0,0,0,0,0,0,0.004237562,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001584786,0
"74","Dillingham Census",0,0,0,0,0,0,0,0.005494952,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001219017,3
"75","Fairbanks N. Star",0.003368895,0.002831132,0.0000084,0.0000913065,0.0000107049,0,0.0000431058,0.007330326,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000350072,2
"76","Haines Borough",0,0,0,0,0,0,0,0.005597715,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"77","Juneau Borough",0.0000714807,0.000147849,0.00000576,0.00000336,0,0,0,0.050515973,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000130246,3
"78","Kenai Peninsula B",0.000169224,0.0000330115,0.00000101,0.00000606,0.00000322,0,0,0.000509128,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000160995,2
"79","Ketchikan Gateway",0,0,0,0,0,0,0,0.002369003,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000355366,3
"80","Kodiak Island Bor",0,0,0,0,0,0,0,0.028344081,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000431251,3
"81","Lake and Peninsul",0,0,0,0,0,0,0,0.000834398,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013165112,3
"82","Matanuska-Susitna",0,0,0,0,0,0,0,0.001487887,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000168572,2
"83","Nome Census Area",0,0,0,0,0,0,0,0.001533402,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000869943,3
"84","North Slope Borou",0,0,0,0,0,0,0,0.004235137,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000677048,3
"85","Northwest Arctic",0,0,0,0,0,0,0,0.000476357,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000416204,3
"86","Prince of Wales -",0,0,0,0,0,0,0,0.004910726,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"87","Sitka Borough",0,0,0,0,0,0,0,0.010837309,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000226372,3
"88","Skagway-Hoonah-An",0,0,0,0,0,0,0,0.000412743,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000291036,0
"89","Southeast Fairban",0,0,0,0,0,0,0,0.000304625,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"90","Valdez-Cordova Ce",0,0,0,0,0,0,0,0.000889252,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000686611,3
"91","Wade Hampton Cens",0,0,0,0,0,0,0,0.01363474,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000996016,3
"92","Wrangell-Petersbu",0,0,0,0,0,0,0,0.014952202,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000149611,3
"93","Yakutat Borough",0,0,0,0,0,0,0,0.001381336,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","Yukon-Koyukuk Cen",0,0,0,0,0,0,0,0.0000424003,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002289727,3
"95","Apache",0.000734283,0,0.0000238169,0.000171314,0,0,0,0.014119847,375.72051,NA,88.9944,4.289,0.348,0.089,23.241,58.126,13.859,0.717,0.711,0.352,1.836,2.85,5.305,0.059,0.000144044,2
"96","Cochise",0.014290612,0.056200322,0.000115578,0.000347989,0.000219095,0.001978386,0.001089193,0.001897445,8321.818965,1268.592941,1727.6984,16.95,0.134,0.027,34.012,60.154,26.793,1.181,0.656,0.321,2.538,2.795,6.152,0.057,0.000178336,2
"97","Coconino",0.0000864929,0,0.00000419,0.00000678,0,0,0,0.001445155,100.11336,NA,25.2084,6.226,0.192,0.02,17.338,53.546,19.044,0.506,0.896,0.312,1.942,2.336,4.421,0.079,0.000386864,2
"98","Gila",0.000204283,0.003369853,0.000020526,0.0000676237,0.00000137,0.000000977,0,0.003331222,NA,NA,NA,12.255,0.244,0.043,39.269,83.307,96.644,1.006,1.173,0.736,2.3,4.818,5.843,0.101,0.000233759,2
"99","Graham",0.010873541,0.032650249,0.0000686792,0.000418472,0,0.000235108,0.004923359,0.012495277,2721.1699,NA,666.2822,5.867,0.165,0.019,691.838,96.353,35.032,1.648,0.704,0.504,2.463,3.721,7.144,0.072,0.0000895817,2
"100","Greenlee",0.002508054,0.01159098,0.0000650894,0.000614076,0,0.000196775,0.000499413,0.016857208,497.1470112,317.1482353,51.1818,5.229,0.114,0.018,31.376,92.361,38.478,1.319,1.312,0.65,2.718,5.574,6.916,0.102,0.000585001,2
"101","La Paz",0.031419566,0.039902714,0.0000235412,0.000035658,0.001279881,0.00048121,0.00239705,0.006489795,1245.11258,NA,48.7054,5.702,0.168,0.022,24.218,65.975,20.517,1.216,1.125,0.431,3.37,3.329,5.671,0.075,0.000608674,2
"102","Maricopa",0.039374898,0.073652339,0.00022766,0.007441646,0.001885989,0.000800199,0.006795931,0.009409986,5968.260112,3171.482353,113.7716,7.474,0.134,0.02,25.187,73.436,31.797,1.345,1.166,0.503,2.402,3.752,6.372,0.078,0.000245105,2
"103","Mohave",0.001323035,0.022702094,0.0000100921,0.000122381,0.000000325,0,0.0002056,0.000971287,271.5965412,317.1482353,NA,13.48,0.265,0.305,48.809,87.03,24.071,1.087,1.411,0.498,4.21,3.992,5.463,0.116,0.000206409,2
"104","Navajo",0.001930603,0,0.0000252586,0.0000428298,0,0,0,0.00577994,401.04426,NA,89.7594,4.171,0.158,0.02,17.799,35.511,12.705,0.501,0.734,0.252,2.669,1.83,3.971,0.043,0.000164153,2
"105","Pima",0.005458564,0.013498386,0.000031288,0.000214255,0,0.000296874,0.001624765,0.000157937,1455.0464,NA,43.9552,11.502,0.161,0.02,41.563,68.611,60.708,1.581,0.666,0.35,2.357,3.378,6.845,0.059,0.000231112,2
"106","Pinal",0.060369232,0.091807985,0.000141012,0.005700093,0.00163865,0.003762556,0.01909393,0.001341099,9986.5287,4130.44,251.8394,6.764,0.166,0.024,48.656,98.324,93.56,1.42,0.86,0.502,2.237,3.892,6.68,0.079,0.000484068,2
"107","Santa Cruz",0.000395007,0.026816327,0.0000530042,0.00000631,0,0,0,0.003828438,NA,NA,NA,11.55,0.245,0.046,45.589,87.8,38.114,1.123,0.566,0.387,2.133,3.279,6.663,0.071,0.000755582,2
"108","Yavapai",0.000939294,0.052439942,0.0000534433,0.00010458,0,0.00000442,0.000113577,0.00061106,250.87422,NA,51.9468,9.971,0.2,0.025,29.654,94.203,49.541,1.383,1.469,0.551,3.606,5.347,6.309,0.097,0.000191025,2
"109","Yuma",0.055784401,0.063753237,0.000140991,0.00575516,0.002103544,0.007766126,0.005075685,0.002972437,10695.90134,317.1482353,444.1774,5.421,0.129,0.029,19.198,60.378,20.728,1.131,1.151,0.379,3.212,2.654,5.781,0.061,0.000256208,2
"110","Arkansas",0.487083632,0.549975696,0.000533534,0.010699405,0.001859057,0.10623682,0.000533979,0.073102765,276171.5693,1518.4653,36055.5225,6.998,0.435,0.031,19.55,47.308,12.786,0.505,0.29,0.312,0.257,1.788,4.241,0.039,0.000674731,3
"111","Ashley",0.212788048,0.2277495,0.000161395,0.001790316,0.042994207,0.030525222,0.094487424,0.096949331,73392.44144,304.4312,7678.047,4.901,0.291,0.032,15.994,35.202,10.172,0.388,0.243,0.323,0.166,1.338,3.453,0.028,0.000289149,3
"112","Baxter",0.032158622,0.005278104,0.0000372823,0.007049012,0,0,0,0.146017504,NA,NA,NA,13.432,0.216,0.016,28.09,79.084,11.27,0.043,0.439,0.084,1.119,1.946,1.68,0.031,0.000260512,2
"113","Benton",0.141213263,0.007126963,0.0000887542,0.111526757,0,0.000930144,0,0.016195053,848.2349,5.0939,156.3387,5.925,0.337,0.083,26.07,54.871,11.184,0.118,0.202,0.221,0.705,1.589,2.713,0.041,0.000286821,2
"114","Boone",0.094214217,0.010569502,0.000044137,0.052774812,0,0.000480314,0,0.028825155,NA,NA,NA,14.059,0.249,0.014,37.979,111.856,13.278,0.05,0.596,0.088,1.303,2.548,1.637,0.027,0.000471309,2
